material_id	material	brand_owner_id	brand_owner	brand_id	brand	subbrand_id	subbrand	subgroup_id	subgroup	pack_type_id	pact_type	pack_size_id	pack_size	pack_empty_id	pack_empty	category_id	category	line_id	line	subline_id	subline	product_id	product
B9VBW	BAP 8 Luppoli 6 bt 75cl	0440	CARLSBERG	1077	BAP	1054	BAP 8	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VBX	TUBORG RED MODULAR 20 fusto 20L	0440	CARLSBERG	0647	TUBORG	1088	TUBORG RED	9003	CI-SPECIALTIES	0016	MOD 20	0008	LT   20	227	Fs ACEII Birra Spec.	200	BIRRA	232	BIRRA FS GRUPPO CI	230	BIRRA TUBORG FS	0052	DANESI
B9VCD	BAP 10 Luppoli MODULAR 20 fusto 20L	0440	CARLSBERG	1077	BAP	1055	BAP 10	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VCE	BAP 10 Luppoli SELECT 10 fusto 10L	0440	CARLSBERG	1077	BAP	1055	BAP 10	9002	CI-CRAFT	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VCF	BAP 8 Luppoli MODULAR 20 fusto 20L	0440	CARLSBERG	1077	BAP	1054	BAP 8	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VCG	BAP 10 LUPPOLI LE BOLLICINE 6 bt 75cl	0440	CARLSBERG	1077	BAP	1055	BAP 10	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VCL	GRIMBERGEN DOUBLE 6 bt 75cl	0440	CARLSBERG	0828	GRIMBERGEN	0830	GRIMBERGEN DOUBLE	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	225	BIRRA CONF. CI	220	BIRRA GRIMBERGEN CF	0016	BELGHE
B9VCM	GRIMBERGEN BLONDE 6 bt 75cl	0440	CARLSBERG	0828	GRIMBERGEN	0804	GRIMBERGEN BLONDE	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	225	BIRRA CONF. CI	220	BIRRA GRIMBERGEN CF	0016	BELGHE
B9VCN	SOMERSBY bott 33 cl	0440	CARLSBERG	0437	SOMERSBY	0419	SOMERSBY	0026	SIDRO	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	22B	BIRRA CONF. CI	220	SIDRO CF CI	0004	danimarca
B9VCO	BAP 9 Luppoli PORTER 12 lattine 33cl	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0006	CAN	0072	CL  33	180	Lattina	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VCP	BAP 9 Luppoli America IPA 12 lattine 33c	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0006	CAN	0072	CL  33	180	Lattina	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VCQ	BAP 9 Luppoli WITBIER 12 lattine 33 cl	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0006	CAN	0072	CL  33	180	Lattina	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VCR	BAP 9 Luppoli Belgian Blanche MD 20	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VCS	CARLSBERG SPECIAL BREW 24 BT 33cl	0440	CARLSBERG	0701	CARLSBERG	0995	SPECIAL BREW	9003	CI-SPECIALTIES	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
B9VCT	BAP 9 Luppoli America IPA MODULAR 20 fs	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VCW	BAP 10 Luppoli 6 bt 75cl astucci	0440	CARLSBERG	1077	BAP	1055	BAP 10	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VCY	JACOBSEN INDIA PALE ALE MODUL. 20 fs 20L	0440	CARLSBERG	0701	CARLSBERG	1064	JACOBSEN	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	231	BIRRA FS GRUPPO CI	230	BIRRA CARLSBERG FS	0052	DANESI
B9VCZ	JACOBSEN WEISSBIER MODULAR 20 fusto 20L	0440	CARLSBERG	0701	CARLSBERG	1064	JACOBSEN	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	231	BIRRA FS GRUPPO CI	230	BIRRA CARLSBERG FS	0052	DANESI
B9VDA	BROOKLYN EIPA MODULAR 20 fusto 20L	0440	CARLSBERG	0059	BROOKLYN	1067	Brooklyn EIPA	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	239	BIRRA FS GRUPPO CI	230	BIRRA BROOKLYN FS	0074	USA
B9VDB	BROOKLYN LAGER MODULAR 20 fusto 20L	0440	CARLSBERG	0059	BROOKLYN	1066	Brooklyn Lager	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	239	BIRRA FS GRUPPO CI	230	BIRRA BROOKLYN FS	0074	USA
B9VDD	BAP 10 Luppoli Rosè 6 bt 75cl	0440	CARLSBERG	1077	BAP	1055	BAP 10	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VDE	BROOKLYN LAGER 24 bt 35,5cl	0440	CARLSBERG	0059	BROOKLYN	1066	Brooklyn Lager	9002	CI-CRAFT	0003	VAP	0095	CL  35,5	160	Vap	200	BIRRA	229	BIRRA CONF. CI	220	BIRRA BROOKLYN CF	0074	USA
B9VDF	BAP 9 Luppoli America IPA 24 bt 33x3	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VDG	ANGELO BLANCHE modular20 fs 20L	0440	CARLSBERG	1077	BAP	1038	BAP ANGELO	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VDH	ANGELO BLANCHE select 10fs 10L	0440	CARLSBERG	1077	BAP	1038	BAP ANGELO	9002	CI-CRAFT	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VDI	ANGELO BLANCHE 6bt 75cl	0440	CARLSBERG	1077	BAP	1038	BAP ANGELO	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VDO	GRIMBERGEN NOEL MODULAR 20 fs 20	0440	CARLSBERG	0828	GRIMBERGEN	1086	GRIMBERGEN NOEL	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	235	BIRRA FS GRUPPO CI	230	BIRRA GRIMBERGEN FS	0016	BELGHE
